pathway,hugo_gene
5HT2 type receptor mediated signaling pathway,Plcl2
5HT2 type receptor mediated signaling pathway,Vamp2
5HT2 type receptor mediated signaling pathway,Gna11
5HT2 type receptor mediated signaling pathway,Gngt2
5HT2 type receptor mediated signaling pathway,Snap23
5HT2 type receptor mediated signaling pathway,Vamp3
5HT2 type receptor mediated signaling pathway,Gnb4
5HT2 type receptor mediated signaling pathway,Prkcz
5HT2 type receptor mediated signaling pathway,Prkch
5HT2 type receptor mediated signaling pathway,Prkcd
5HT2 type receptor mediated signaling pathway,Prkcq
5HT2 type receptor mediated signaling pathway,Mrpl16
5HT2 type receptor mediated signaling pathway,Plcg1
5HT2 type receptor mediated signaling pathway,Prkce
5HT2 type receptor mediated signaling pathway,Vamp8
5HT2 type receptor mediated signaling pathway,Gnb2
5HT2 type receptor mediated signaling pathway,Gng5
5HT2 type receptor mediated signaling pathway,Snap29
5HT2 type receptor mediated signaling pathway,Gnb1
5HT2 type receptor mediated signaling pathway,Prkca
5HT2 type receptor mediated signaling pathway,Gng11
5HT2 type receptor mediated signaling pathway,Gng10
5HT2 type receptor mediated signaling pathway,Tcf3
5HT2 type receptor mediated signaling pathway,Slc18a1
5HT2 type receptor mediated signaling pathway,Slc6a4
5HT2 type receptor mediated signaling pathway,Gng2
5HT2 type receptor mediated signaling pathway,Prkcb
Cholesterol biosynthesis,Pdss1
Cholesterol biosynthesis,Fdps
Cholesterol biosynthesis,Fdft1
Cholesterol biosynthesis,Pmvk
Cholesterol biosynthesis,Idi1
Cholesterol biosynthesis,Ggps1
Cholesterol biosynthesis,Hmgcr
Cholesterol biosynthesis,Sqle
Cholesterol biosynthesis,Hmgcs1
Cholesterol biosynthesis,Mvk
De novo purine biosynthesis,Cmpk1
De novo purine biosynthesis,Ppat
De novo purine biosynthesis,Gmps
De novo purine biosynthesis,Ak2
De novo purine biosynthesis,Rrm1
De novo purine biosynthesis,Atic
De novo purine biosynthesis,Pfas
De novo purine biosynthesis,Nme3
De novo purine biosynthesis,Rrm2
De novo purine biosynthesis,Guk1
De novo purine biosynthesis,Nme1
De novo purine biosynthesis,Nme2
De novo purine biosynthesis,Impdh1
De novo purine biosynthesis,Gart
De novo purine biosynthesis,Rrm2b
De novo purine biosynthesis,Ak3
De novo purine biosynthesis,Adsl
De novo purine biosynthesis,Impdh2
TGF-beta signaling pathway,Zfyve16
TGF-beta signaling pathway,Mapk14
TGF-beta signaling pathway,Kras
TGF-beta signaling pathway,Jund
TGF-beta signaling pathway,Rras2
TGF-beta signaling pathway,Cited2
TGF-beta signaling pathway,Jun
TGF-beta signaling pathway,Rras
TGF-beta signaling pathway,Fkbp2
TGF-beta signaling pathway,Ep300
TGF-beta signaling pathway,Mapk9
TGF-beta signaling pathway,Rab10
TGF-beta signaling pathway,Smurf2
TGF-beta signaling pathway,Skil
TGF-beta signaling pathway,Smad4
TGF-beta signaling pathway,Crebbp
TGF-beta signaling pathway,Smad7
TGF-beta signaling pathway,Junb
TGF-beta signaling pathway,Tgfb1
TGF-beta signaling pathway,Hras
TGF-beta signaling pathway,Smad2
TGF-beta signaling pathway,Snip1
TGF-beta signaling pathway,Map3k7
TGF-beta signaling pathway,Dcp1a
TGF-beta signaling pathway,Nras
TGF-beta signaling pathway,Acvr1
TGF-beta signaling pathway,Mapk3
TGF-beta signaling pathway,Tgfbr2
TGF-beta signaling pathway,Mapk1
TGF-beta signaling pathway,Fkbp1a
TGF-beta signaling pathway,Atf2
Dopamine receptor mediated signaling pathway,Vamp2
Dopamine receptor mediated signaling pathway,Grb2
Dopamine receptor mediated signaling pathway,Snap23
Dopamine receptor mediated signaling pathway,Vamp3
Dopamine receptor mediated signaling pathway,Prkaca
Dopamine receptor mediated signaling pathway,Gnb4
Dopamine receptor mediated signaling pathway,Prkacb
Dopamine receptor mediated signaling pathway,Ppp1cc
Dopamine receptor mediated signaling pathway,Prkx
Dopamine receptor mediated signaling pathway,Ppp1ca
Dopamine receptor mediated signaling pathway,Mrpl16
Dopamine receptor mediated signaling pathway,Adcy7
Dopamine receptor mediated signaling pathway,Ppp1cb
Dopamine receptor mediated signaling pathway,Vamp8
Dopamine receptor mediated signaling pathway,Cdk5
Dopamine receptor mediated signaling pathway,Prkar2a
Dopamine receptor mediated signaling pathway,Gnb2
Dopamine receptor mediated signaling pathway,Snap29
Dopamine receptor mediated signaling pathway,Gnai2
Dopamine receptor mediated signaling pathway,Gnb1
Dopamine receptor mediated signaling pathway,Flna
Dopamine receptor mediated signaling pathway,Gng11
Dopamine receptor mediated signaling pathway,Comt
Dopamine receptor mediated signaling pathway,Gnai3
Dopamine receptor mediated signaling pathway,Epb41
Dopamine receptor mediated signaling pathway,Epb41l2
Ornithine degradation,Aldh16a1
Ornithine degradation,Azin1
Ornithine degradation,Odc1
Ornithine degradation,Azin2
Ornithine degradation,Bub1
Axon guidance mediated by netrin,Rac2
Axon guidance mediated by netrin,Pik3c2a
Axon guidance mediated by netrin,Cdc42
Axon guidance mediated by netrin,Pik3cg
Axon guidance mediated by netrin,Nfatc2
Axon guidance mediated by netrin,Pik3ca
Axon guidance mediated by netrin,Rac1
Axon guidance mediated by netrin,Vasp
Axon guidance mediated by netrin,Ntn1
Axon guidance mediated by netrin,Ablim1
Axon guidance mediated by netrin,Pik3r1
Axon guidance mediated by netrin,Pik3r5
Axon guidance mediated by netrin,Pik3cd
Axon guidance mediated by netrin,Plcg1
Axon guidance mediated by netrin,Nfatc3
Enkephalin release,Prkar2a
Enkephalin release,Gngt2
Enkephalin release,Gnb2
Enkephalin release,Prkaca
Enkephalin release,Gng5
Enkephalin release,Gnas
Enkephalin release,Creb1
Enkephalin release,Gnai2
Enkephalin release,Gnb4
Enkephalin release,Gnb1
Enkephalin release,Prkacb
Enkephalin release,Prkx
Enkephalin release,Gng10
Enkephalin release,Gnai3
Enkephalin release,Tcf3
Enkephalin release,Penk
Enkephalin release,Gng2
Enkephalin release,Crem
Enkephalin release,Adcy7
BMP_signaling_pathway-drosophila,Twsg1
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Vamp2
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Gna11
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Gngt2
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Snap23
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Itpr3
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Vamp3
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Gnb4
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Prkcz
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Prkch
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Pkn2
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Prkcd
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Prkcq
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Itpr2
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Prkce
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Vamp8
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Stx12
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Gnb2
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Gng5
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Snap29
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Itpr1
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Gnb1
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Pkn1
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Prkca
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Gng11
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Gng10
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Gng2
Muscarinic acetylcholine receptor 1 and 3 signaling pathway,Prkcb
Opioid proopiomelanocortin pathway,Vamp2
Opioid proopiomelanocortin pathway,Gngt2
Opioid proopiomelanocortin pathway,Gnb2
Opioid proopiomelanocortin pathway,Snap23
Opioid proopiomelanocortin pathway,Vamp3
Opioid proopiomelanocortin pathway,Gng5
Opioid proopiomelanocortin pathway,Snap29
Opioid proopiomelanocortin pathway,Gnai2
Opioid proopiomelanocortin pathway,Gnb4
Opioid proopiomelanocortin pathway,Gnb1
Opioid proopiomelanocortin pathway,Gng10
Opioid proopiomelanocortin pathway,Gnai3
Opioid proopiomelanocortin pathway,Tcf3
Opioid proopiomelanocortin pathway,Mrpl16
Opioid proopiomelanocortin pathway,Gng2
Opioid proopiomelanocortin pathway,Adcy7
Opioid proopiomelanocortin pathway,Vamp8
Coenzyme A biosynthesis,Ppcs
Coenzyme A biosynthesis,Coasy
Coenzyme A biosynthesis,Pank3
Coenzyme A biosynthesis,Ppcdc
Coenzyme A biosynthesis,Dcakd
Coenzyme A biosynthesis,Pank2
Oxytocin receptor mediated signaling pathway,Plcl2
Oxytocin receptor mediated signaling pathway,Vamp2
Oxytocin receptor mediated signaling pathway,Gna11
Oxytocin receptor mediated signaling pathway,Gngt2
Oxytocin receptor mediated signaling pathway,Gnb2
Oxytocin receptor mediated signaling pathway,Snap23
Oxytocin receptor mediated signaling pathway,Vamp3
Oxytocin receptor mediated signaling pathway,Gng5
Oxytocin receptor mediated signaling pathway,Snap29
Oxytocin receptor mediated signaling pathway,Gnb4
Oxytocin receptor mediated signaling pathway,Gnb1
Oxytocin receptor mediated signaling pathway,Prkcz
Oxytocin receptor mediated signaling pathway,Prkch
Oxytocin receptor mediated signaling pathway,Prkca
Oxytocin receptor mediated signaling pathway,Gng10
Oxytocin receptor mediated signaling pathway,Prkcd
Oxytocin receptor mediated signaling pathway,Tcf3
Oxytocin receptor mediated signaling pathway,Prkcq
Oxytocin receptor mediated signaling pathway,Mrpl16
Oxytocin receptor mediated signaling pathway,Plcg1
Oxytocin receptor mediated signaling pathway,Prkce
Oxytocin receptor mediated signaling pathway,Gng2
Oxytocin receptor mediated signaling pathway,Prkcb
Oxytocin receptor mediated signaling pathway,Vamp8
General transcription by RNA polymerase I,Tbpl1
General transcription by RNA polymerase I,Taf8
General transcription by RNA polymerase I,Polr2k
General transcription by RNA polymerase I,Taf1b
General transcription by RNA polymerase I,Polr1d
General transcription by RNA polymerase I,Ttf1
General transcription by RNA polymerase I,Polr1b
General transcription by RNA polymerase I,Taf1c
General transcription by RNA polymerase I,Psmc3ip
General transcription by RNA polymerase I,Rrn3
General transcription by RNA polymerase I,Tbp
General transcription by RNA polymerase I,Ubtf
Methionine biosynthesis,Mtr
Alpha adrenergic receptor signaling pathway,Vamp2
Alpha adrenergic receptor signaling pathway,Prkcd
Alpha adrenergic receptor signaling pathway,Gna11
Alpha adrenergic receptor signaling pathway,Snap23
Alpha adrenergic receptor signaling pathway,Vamp3
Alpha adrenergic receptor signaling pathway,Prkce
Alpha adrenergic receptor signaling pathway,Itpr1
Alpha adrenergic receptor signaling pathway,Stx6
Alpha adrenergic receptor signaling pathway,Prkca
Interleukin signaling pathway,Il2ra
Interleukin signaling pathway,Elk3
Interleukin signaling pathway,Galt
Interleukin signaling pathway,Fos
